1	221.25	-1	400
2	104.769	1	267
3	240.576	-1	400
4	434.852	1	321
5	724.197	-1	400
6	36.847	1	132
7	501.581	-1	400
8	246.07	-1	400
9	69.118	1	203
10	381.578	-1	400
11	218.54	-1	400
12	111.951	-1	400
13	79.539	1	204
14	71.516	1	285
15	33.911	1	209
16	247.674	-1	400
17	114.605	1	313
18	31.131	1	163
19	80.472	1	330
20	50.106	1	226
21	99.18	-1	400
22	35.316	1	215
23	30.579	1	148
24	37.708	1	200
25	293.957	-1	400
26	181.177	-1	400
27	141.233	-1	400
28	86.414	-1	400
29	200.604	-1	400
30	27.773	1	169
31	48.938	2	189
32	36.322	1	214
33	388.214	-1	400
34	252.791	-1	400
35	354.643	-1	400
36	68.149	1	238
37	149.192	-1	400
38	118.455	-1	400
39	43.843	1	209
40	86.183	-1	400
41	88.231	-1	400
42	55.984	1	287
43	56.643	1	278
44	43.989	1	192
45	30.201	1	176
46	72.693	1	362
47	55.836	1	273
48	63.292	0	340
49	416.309	2	393
50	32.293	1	187
51	45.881	0	142
52	103.046	-1	400
53	252.222	-1	400
54	145.701	-1	400
55	242.442	-1	400
56	381.745	-1	400
57	191.486	-1	400
58	53.555	1	263
59	48.347	1	252
60	57.293	-1	400
61	70.114	1	335
62	36.688	1	174
63	391.737	-1	400
64	32.804	1	187
65	44.603	1	221
66	71.295	1	356
67	78.155	1	394
68	45.654	1	252
69	68.741	-1	400
70	88.773	-1	400
71	221.748	-1	400
72	91.58	1	362
73	194.361	-1	400
74	41.117	1	203
75	35.928	1	215
76	103.277	-1	400
77	43.273	1	239
78	120.678	-1	400
79	35.587	1	183
80	34.26	1	214
81	46.819	1	225
82	46.564	1	236
83	112.272	-1	400
84	232.529	-1	400
85	36.503	1	193
86	30.103	1	161
87	76.903	2	290
88	36.279	3	203
89	223.635	-1	400
90	142.903	-1	400
91	62.642	-1	400
92	34.347	1	164
93	32.201	1	202
94	58.773	0	391
95	38.052	1	246
96	63.647	-1	400
97	117.64	-1	400
98	29.459	1	208
99	59.002	1	337
100	0        90.61	-1	400
101	39.728	1	156
102	161.085	1	151
103	25.382	1	111
104	71.542	-1	400
105	60.199	0	256
106	40.427	1	153
107	60.06	1	226
108	56.642	1	286
109	63.228	0	315
110	97.133	3	360
111	119.387	-1	400
112	80.658	1	212
113	137.266	-1	400
114	139.395	2	203
115	333.762	2	278
116	45.012	3	255
117	82.872	1	396
118	115.95	1	254
119	67.643	1	261
120	50.264	1	214
121	89.233	-1	400
122	878.496	2	388
123	70.478	1	268
124	476.522	-1	400
125	477.123	0	327
126	96.501	1	321
127	292.849	-1	400
128	472.94	-1	400
129	165.689	2	187
130	387.467	1	353
131	43.93	0	145
132	332.994	-1	400
133	128.528	3	399
134	82.86	-1	400
135	202.817	2	257
136	65.89	1	301
137	35.892	2	105
138	74.847	1	315
139	123.7	-1	400
140	98.483	-1	400
141	79.942	-1	400
142	57.936	3	187
143	25.488	0	78
144	120.547	2	242
145	173.003	-1	400
146	86.749	0	332
147	46.203	1	234
148	35.149	1	158
149	26.266	1	124
150	90.957	1	248
151	205.269	-1	400
152	43.151	1	203
153	38.528	3	196
154	104.692	2	231
155	51.806	1	245
156	64.263	3	299
157	30.389	1	147
158	139.877	2	290
159	40.114	3	216
160	47.061	2	128
161	29.336	1	117
162	38.669	3	192
163	41.526	3	194
164	87.813	3	316
165	68.271	2	158
166	329.153	0	350
167	97.027	1	249
168	125.563	0	254
169	147.242	-1	400
170	37.961	1	148
171	41.857	2	120
172	69.634	2	166
173	163.348	-1	400
174	143.523	-1	400
175	76.317	-1	400
176	31.68	1	147
177	42.245	1	265
178	39.672	1	278
179	161.752	3	308
180	106.969	-1	400
181	38.562	1	232
182	53.178	1	220
183	40.973	1	251
184	62.159	-1	400
185	33.754	1	203
186	49.661	1	285
187	49.766	1	285
188	57.161	1	324
189	56.161	1	238
190	39.111	1	252
191	43.332	1	245
192	101.538	-1	400
193	65.691	-1	400
194	25.086	1	159
195	43.027	1	216
196	45.928	1	240
197	93.087	-1	400
198	109.267	-1	400
199	73.312	0	386
200	0        34.22	1	210
201	45,059	1	242
202	85,009	-1	400
203	30,728	1	173
204	76,761	0	373
205	166,786	-1	400
206	104,255	-1	400
207	29,52	1	145
208	159,838	-1	400
209	56,584	0	332
210	26,572	1	168
211	34,63	1	175
212	48,139	1	256
213	108,393	-1	400
214	234,107	-1	400
215	79,888	3	304
216	80,269	1	273
217	85,818	1	216
218	81,23	1	369
219	51,51	1	234
220	29,856	1	183
221	73,348	-1	400
222	44,357	1	277
223	46,522	0	221
224	22,521	1	135
225	46,825	1	266
226	45,661	1	218
227	61,978	1	243
228	102,298	-1	400
229	63,557	1	299
230	36,12	1	177
231	62,835	1	261
232	215,933	-1	400
233	32,573	1	159
234	175,596	-1	400
235	75,075	1	337
236	75,084	1	361
237	16,43	1	69
238	268,317	-1	400
239	81,987	1	242
240	39,342	1	218
241	453,325	-1	400
242	49,338	1	224
243	98,031	-1	400
244	106,209	-1	400
245	47,522	1	246
246	151,013	-1	400
247	63,777	-1	400
248	29,182	1	143
249	102,094	1	298
250	380,555	-1	400
251	85,558	1	266
252	410,497	2	370
253	127,592	-1	400
254	81,237	0	320
255	78,392	1	353
256	66,376	3	255
257	74,514	3	269
258	86,493	-1	400
259	138,367	2	196
260	62,51	3	271
261	119,042	-1	400
262	82,257	2	183
263	91,858	2	177
264	70,621	0	382
265	42,519	3	98
266	48,673	2	116
267	175,991	-1	400
268	52,325	3	210
269	38,745	1	150
270	40,487	1	173
271	61,077	3	305
272	214,749	2	264
273	146,931	1	299
274	24,469	0	84
275	151,525	-1	400
276	40,769	0	192
277	47,009	1	181
278	51,057	1	236
279	96,859	-1	400
280	250,554	-1	400
281	151,364	2	182
282	125,308	2	147
283	105,151	-1	400
284	83,479	-1	400
285	56,284	3	225
286	47,331	2	115
287	173,696	-1	400
288	45,198	3	145
289	55,385	2	132
290	28,188	1	123
291	125,627	-1	400
292	70,419	3	172
293	97,699	-1	400
294	58,096	3	245
295	49,834	1	284
296	73,869	3	322
297	21,99	3	97
298	190,777	-1	400
299	104,717	2	200
300	0        63,843	2	118
301			
302			
303			
304			
